"date","lat","lon","region","site","band_id","species","sex","ageclass","mass","Massinacuracy","forearm","ear","repro_status","Comments","capture_time","release_time","month","season"
2012-07-09,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0647","Myotis lucifugus","Female","Adult",6.300000191,NA,38,1,"NOP","measured forearm with ruler","00:10-00:49","1:49",7,"Summer"
2012-07-09,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0648","Myotis lucifugus","Female","Adult",8.699999809,NA,40,12,"NOP","forearm measured w/ ruler","00:10-00:49","1:51",7,"Summer"
2012-07-09,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0649","Myotis lucifugus","Female","Adult",11.80000019,NA,40.5,12,"PREG","measured forearm with ruler","00:10-00:49","1:56",7,"Summer"
2012-07-09,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0650","Myotis lucifugus","Female","Adult",14.19999981,NA,41,13,"PREG","bare back; big nips; forearm w/ ruler","1:09","1:58",7,"Summer"
2012-07-09,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0651","Myotis lucifugus","Female","Adult",9.800000191,NA,40.5,13,"NOP","measured forearm with ruler","1:07","2:00",7,"Summer"
2012-07-09,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0652","Myotis lucifugus","Female","Adult",10.80000019,NA,41.5,13,"LAC","milk; forearm measured with ruler","1:10","2:03",7,"Summer"
2012-07-09,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0653","Myotis lucifugus","Female","Adult",10.10000038,NA,40.5,14,"NOP","measured forearm with ruler","1:10","2:05",7,"Summer"
2012-07-09,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0654","Myotis lucifugus","Female","Adult",9,NA,38,11,"NOP","forearm measured w/ ruler","1:10","2:07",7,"Summer"
2012-07-10,60.09,-112.25,"Salt River","Thebacha cabins","UC0138","Myotis lucifugus","Female","Adult",9.699999809,"*",38.09999847,12,"LAC",NA,"0:35","1:08",7,"Summer"
2012-07-10,60.09,-112.25,"Salt River","Thebacha cabins","UC0655","Myotis lucifugus","Female","Adult",8.5,NA,37.79999924,12,"LAC","radio tagged: 161019; 173.699; ch 5; fleas","23:27","23:37",7,"Summer"
2012-07-10,60.09,-112.25,"Salt River","Thebacha cabins","UC0656","Myotis lucifugus","Female","Adult",10,NA,40.79999924,11,"NOP",NA,"0:32","1:02",7,"Summer"
2012-07-10,60.09,-112.25,"Salt River","Thebacha cabins","UC0657","Myotis lucifugus","Female","Adult",9,NA,39.70000076,13,"NOP",NA,"0:35","1:05",7,"Summer"
2012-07-10,60.09,-112.25,"Salt River","Thebacha cabins","UC0700","Myotis lucifugus","Female","Adult",8.300000191,NA,37.90000153,12,"NOP",NA,"23:54","23:55",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0002","Myotis lucifugus","Female","Adult",8.399999619,NA,38.70000076,12,"LAC",NA,"23:32","1:33",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0018","Myotis lucifugus","Female","Adult",8.699999809,NA,39.40000153,12,"LAC",NA,"23:51","1:48",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0025","Myotis lucifugus","Female","Adult",8.600000381,NA,37.59999847,12,"LAC",NA,"23:13","0:36",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0101","Myotis lucifugus","Female","Adult",8.899999619,NA,38.29999924,13,"LAC",NA,"0:03","1:07",7,"Summer"
