Night_date,Latitude,Longitude,Region,Site,BandID,Species,Sex,Ageclass,Massg,Massinacuracy,Forearmlengthmm,Earlengthmm,Reproductivestatus,Comments,Capturetime,Releasetime
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0688,Myotis lucifugus,Female,Adult,9.800000191,,38.79999924,13,LAC,milk,22:55- 23:35,0:15
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0689,Myotis lucifugus,Female,Adult,9.100000381,,40.09999847,13,LAC,milk,22:55- 23:35,0:16
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0690,Myotis lucifugus,Female,Adult,8.899999619,,39.59999847,13,NOP,,22:55- 23:35,0:17
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0691,Myotis lucifugus,Female,Adult,8.699999809,,38.20000076,13,LAC,milk,22:55- 23:35,0:23
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0692,Myotis lucifugus,Female,Adult,8.899999619,,38.90000153,12,LAC,milk,22:55- 23:35,0:25
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0693,Myotis lucifugus,Female,Juvenile,8.100000381,,39.40000153,12,JUV,,22:55- 23:35,0:27
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0694,Myotis lucifugus,Female,Adult,9,,39.20000076,12,NOP,,22:55- 23:35,0:29
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0695,Myotis lucifugus,Female,Adult,8.100000381,,39.5,13,POST,,22:55- 23:35,0:31
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0696,Myotis lucifugus,Female,Adult,9.199999809,,39.5,13,LAC,milk,22:55- 23:35,0:34
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0697,Myotis lucifugus,Female,Adult,9.699999809,,40.09999847,13,LAC,no left tragus; milk,22:55- 23:35,0:38
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0698,Myotis lucifugus,Female,Adult,8.600000381,,38.59999847,12,LAC,milk,22:55- 23:35,0:37
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0699,Myotis lucifugus,Female,Adult,8.699999809,,39.90000153,13,LAC,milk,22:55- 23:35,0:40
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0701,Myotis lucifugus,Female,Adult,8.300000191,,38.59999847,13,LAC,milk,22:55- 23:35,0:50
