D:\Agilent\ICPMH\1\DATA\Rachel Johnson\PC_LGH_20230328_#2.b\PCBN_PCBO_PCBP.d
Intensity Vs Time,CPS
Acquired      : 2023-03-28 16:42:53 using Batch PC_LGH_20230328_#2.b
Time [Sec],Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137
156.0115,141742.42,62100.25,1502821.13,390671.81,108967.87,384909.88,38391.53
156.9869,178431.27,91149.14,2041810.59,439235.14,118565.63,411269.02,37489.60
157.9617,197109.53,88603.93,1948815.41,450381.60,123205.28,423879.37,35545.60
158.9366,184325.62,96609.06,1809170.87,470428.68,117233.99,414091.05,37259.11
159.9119,191938.43,94565.60,1979187.28,460878.89,105649.05,400925.23,45117.34
160.8868,203373.24,91417.08,1912744.31,434661.75,98664.61,413457.10,41067.51
161.8616,200766.48,90479.32,1929555.90,493256.65,118803.78,404277.18,38070.84
162.8370,191423.40,95302.56,1929632.73,463235.09,118642.77,397768.08,41608.77
163.8118,199089.45,100562.61,1932559.29,463945.40,106892.69,440491.40,35595.70
164.7867,197149.94,89809.52,1903221.40,478335.66,112045.87,436631.40,38431.61
165.7615,208476.64,88068.16,1839175.30,451012.95,107811.24,426416.79,38902.64
166.7369,212671.48,95135.07,2005551.61,468932.27,114956.68,404399.76,35605.72
167.7117,202716.50,100730.15,2010033.25,459909.10,119145.95,428575.93,35245.00
168.6866,216604.35,87465.40,1827452.12,449084.83,110453.16,437153.51,39944.95
169.6620,195947.93,93962.65,1938083.38,444607.95,124084.37,424216.99,39143.17
170.6368,215178.71,96609.06,1933815.41,468932.27,118465.01,460490.50,39243.39
171.6116,225736.91,102003.53,1879715.15,471829.41,109561.31,408743.86,38100.90
172.5870,218272.77,97212.10,1901034.03,446105.82,101687.31,420687.65,38601.98
173.5619,178633.12,93895.66,1872541.97,445887.38,120434.10,425792.65,38441.64
174.5367,202342.63,88235.57,1997100.96,483141.70,124339.37,447845.11,41438.38
175.5116,190615.58,91752.00,2011990.02,478957.79,111117.05,457753.67,38862.55
176.4869,199119.74,103511.54,2001796.27,460827.59,131494.41,417527.10,42099.93
177.4618,217302.03,103411.02,2151895.10,475683.68,120296.54,440993.20,38501.77
178.4366,222712.48,89508.11,1959560.20,465741.86,126852.73,431144.76,39213.32
179.4120,202433.59,91216.13,1908074.78,476425.24,122923.45,443481.75,39463.88
180.3868,194230.93,101031.73,1997246.27,488509.67,114939.92,443358.82,39784.59
181.3617,217433.49,94565.60,1960303.69,456344.72,107941.98,411892.69,40716.71
182.3365,215320.29,96274.07,1987492.62,472280.40,105186.45,432086.32,40616.48
183.3119,190080.39,93359.72,1909031.68,481418.78,121886.75,433785.42,39203.30
184.2867,204504.98,94197.13,2020504.73,437993.68,123107.98,422334.60,47232.84
185.2616,188959.57,90747.24,1910202.39,515711.07,105377.51,407639.84,37700.04
186.2369,229358.71,91517.55,2173196.79,451180.19,99813.97,421117.26,38571.92
187.2118,207900.52,90144.41,1797148.61,459352.48,107449.16,424324.95,39413.77
188.1866,217039.16,104617.52,1926099.52,425886.39,75243.44,201533.67,16878.03
189.1620,88972.18,27052.37,803141.75,114879.54,16070.19,32989.44,2420.17
190.1368,10442.79,3266.94,437941.55,34668.26,2103.45,3840.40,620.01
191.1117,6261.00,666.68,372514.72,16113.49,483.34,430.01,50.00
192.0865,270.00,66.67,379244.67,14578.92,263.34,160.00,20.00
193.0619,180.00,133.33,353187.70,14505.53,333.34,79209.50,40.00
194.0367,200.00,100.00,349114.14,14035.18,313.34,330.00,0.00
195.0116,130.00,100.00,355462.41,14108.57,360.00,80.00,0.00
195.9869,170.00,66.67,370543.79,14462.17,443.34,0.00,0.00
196.9618,90.00,0.00,355700.11,14081.88,383.34,40.00,0.00
197.9366,90.00,66.67,359775.04,14225.32,890.02,7171.39,1460.06
198.9120,32156.45,9402.30,547398.65,21705.72,6747.88,20581.46,1070.03
199.8868,15926.49,28587.93,869742.27,27142.70,5367.43,23124.47,1020.03
200.8617,13995.01,26585.06,819571.18,27763.60,5174.04,21322.30,1410.06
201.8365,13944.98,27619.85,948932.70,27373.03,4603.90,18959.73,1480.06
202.8119,10843.01,30524.24,804416.29,28501.36,5587.50,20321.17,1320.05
203.7868,12824.21,28721.46,721688.62,28097.42,5854.24,22613.84,1330.05
204.7616,14195.16,27987.05,848975.80,27736.89,4803.95,19730.53,1100.03
205.7370,12193.81,25083.04,750634.85,27072.61,4850.63,19430.22,1540.07
206.7118,12824.21,27419.56,861551.65,27780.29,4820.62,19139.91,1190.04
207.6867,13414.60,29689.60,828196.57,26391.65,5370.77,19810.62,1030.03
208.6615,11733.52,24348.76,822840.06,28387.85,6017.63,22673.91,950.03
209.6369,14315.24,34430.84,817067.79,26848.95,4673.91,20831.74,1500.06
210.6117,13174.44,26284.64,779693.18,27693.50,4953.99,19740.55,860.02
211.5866,11893.62,24582.39,764326.25,27723.54,4873.96,17177.98,840.02
212.5619,11833.58,25950.86,739965.45,27156.06,4380.51,16857.69,1090.03
213.5368,10833.00,25149.79,882366.17,26792.21,5557.49,20551.43,1440.06
214.5116,13124.41,29689.60,776223.26,26949.10,5084.02,19119.89,1110.03
215.4870,11273.25,29322.37,788787.13,27773.61,4937.31,16567.43,1340.05
216.4628,13814.88,24515.64,810845.27,26889.01,5244.06,19570.36,1340.05
217.4377,11313.27,29155.45,883482.57,27062.59,5437.45,20691.59,1190.04
218.4125,13024.34,25917.48,794724.76,27112.66,4827.29,18829.59,1080.03
219.3879,12333.89,25249.92,779901.25,27980.58,4827.29,22073.18,1150.04
220.3627,14025.03,27152.52,855280.10,26935.75,4617.23,22673.91,1240.04
221.3376,14895.68,34430.84,857440.06,28261.00,4577.22,19209.99,910.02
222.3130,13904.95,30190.38,841664.08,27743.57,5490.80,19470.26,1010.03
223.2878,12473.98,28087.19,848836.54,29860.11,5754.21,19410.20,1300.05
224.2626,13975.00,29990.06,897651.26,28481.33,5384.10,22613.84,1160.04
225.2375,13504.67,26284.64,860959.26,27897.13,5084.02,20551.43,1180.04
226.2129,12794.19,29856.52,831814.93,26848.95,5080.69,19930.75,1330.05
227.1877,14445.34,26017.61,940603.93,29105.60,5554.15,18459.22,980.03
228.1626,11913.63,26017.61,802679.12,28150.84,5247.40,22043.15,1150.04
229.1379,12093.74,28120.57,776084.46,26518.49,2480.16,5420.80,230.00
230.1128,2720.19,3867.06,412588.84,15709.82,506.67,800.02,20.00
231.0876,230.00,233.33,371631.16,13888.41,306.67,60.00,10.00
232.0630,140.00,166.67,364937.93,14442.15,350.00,30.00,0.00
233.0378,80.00,0.00,360420.32,14242.00,330.00,40.00,0.00
234.0127,130.00,0.00,353866.74,14105.23,393.34,10.00,0.00
234.9875,70.00,0.00,352712.38,14402.12,366.67,20.00,0.00
235.9629,100.00,33.33,346907.98,14131.92,423.34,60.00,0.00
236.9377,50.00,0.00,356616.94,14859.14,396.67,10.00,0.00
237.9126,50.00,66.67,370339.88,14839.12,326.67,20.00,0.00
238.8879,70.00,100.00,376117.33,14465.50,753.35,5810.91,770.02
239.8628,19469.70,10102.66,553434.84,22463.27,5874.25,20911.83,1350.05
240.8376,16276.78,26785.34,825796.44,27356.34,5244.06,18419.18,1140.04
241.8130,12153.78,29689.60,815989.86,28621.53,4617.23,17988.76,1370.05
242.7878,11393.32,22546.56,731517.27,27246.19,4943.98,21332.31,1390.05
243.7627,12884.25,30858.11,865698.78,26198.05,5374.10,22003.10,1240.04
244.7375,13034.35,29556.06,810602.04,27426.44,5777.55,20120.96,1100.03
245.7129,12774.17,30591.01,884878.01,27246.19,4107.11,16897.73,1030.03
246.6877,12634.08,25316.68,788196.83,27997.28,4583.89,19740.55,1250.04
247.6626,10192.66,24916.16,785454.57,27419.77,4990.66,19640.44,1050.03
248.6380,12443.96,27953.66,744086.93,25660.65,5617.51,20130.96,1460.06
249.6128,12253.84,24148.51,828474.95,27349.67,5024.00,20050.88,1730.08
250.5876,13534.69,26384.78,805910.37,28945.36,5454.12,19410.20,880.02
